kind	name	threshold	rc	wall_s	inadequate	spec_failures	max_osr	compile_count	compiles	jits	sites	retry_after	retry_before	reopt	phase_ms	dfg_compile_ms	ftl_compile_ms	total_compile_ms	stub_bytes_sum	unknown_option	repro	log
sweep	C	1	0	0.0113	2	2	1	0		{}	f@4/InadequateCoverage=2	1	0	1	0.405	0.414	0.0	0.595	544	0	name=C-exactly-2 sum=2 warmup_ms=1.047 phase_ms=0.405 after_ms=0.758 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-C-t1.log
sweep	C	2	0	0.0115	2	2	1	0		{}	f@4/InadequateCoverage=2	0	0	0	0.358	0.244	0.0	0.437	544	0	name=C-exactly-2 sum=2 warmup_ms=1.365 phase_ms=0.358 after_ms=0.334 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-C-t2.log
sweep	C	3	0	0.011	2	2	1	0		{}	f@4/InadequateCoverage=2	0	0	0	0.356	0.231	0.0	0.416	544	0	name=C-exactly-2 sum=2 warmup_ms=1.346 phase_ms=0.356 after_ms=0.357 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-C-t3.log
sweep	C	5	0	0.0112	2	2	1	0		{}	f@4/InadequateCoverage=2	0	0	0	0.349	0.22	0.0	0.399	544	0	name=C-exactly-2 sum=2 warmup_ms=1.294 phase_ms=0.349 after_ms=0.345 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-C-t5.log
sweep	C	10	0	0.0113	2	2	1	0		{}	f@4/InadequateCoverage=2	0	0	0	0.343	0.239	0.0	0.434	544	0	name=C-exactly-2 sum=2 warmup_ms=1.309 phase_ms=0.343 after_ms=0.325 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-C-t10.log
sweep	D	0	0	0.0123	1	1	0	0		{}	f@4/InadequateCoverage=1	1	0	1	0.294	0.422	0.0	0.639	544	0	name=D-exactly-3 sum=3 warmup_ms=1.379 phase_ms=0.294 after_ms=0.750 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t0.log
sweep	D	1	0	0.0116	2	2	1	0		{}	f@4/InadequateCoverage=2	1	0	1	0.383	0.394	0.0	0.573	544	0	name=D-exactly-3 sum=3 warmup_ms=1.282 phase_ms=0.383 after_ms=0.731 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t1.log
sweep	D	2	0	0.0121	3	3	2	0		{}	f@4/InadequateCoverage=3	1	0	1	0.540	0.421	0.0	0.611	544	0	name=D-exactly-3 sum=3 warmup_ms=1.374 phase_ms=0.540 after_ms=0.772 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t2.log
sweep	D	3	0	0.0111	3	3	2	0		{}	f@4/InadequateCoverage=3	0	0	0	0.433	0.227	0.0	0.407	544	0	name=D-exactly-3 sum=3 warmup_ms=1.291 phase_ms=0.433 after_ms=0.308 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t3.log
sweep	D	5	0	0.0116	3	3	2	0		{}	f@4/InadequateCoverage=3	0	0	0	0.483	0.248	0.0	0.441	544	0	name=D-exactly-3 sum=3 warmup_ms=1.417 phase_ms=0.483 after_ms=0.354 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t5.log
